code,description
"111","Hospital Inpatient (Including Medicare Part A) admit through discharge"
"112","Hospital Inpatient (Including Medicare Part A) interim - first claim"
"113","Hospital Inpatient (Including Medicare Part A) interim - continuing claims"
"114","Hospital Inpatient (Including Medicare Part A) interim - last claim"
"115","Hospital Inpatient (Including Medicare Part A) late charge only"
"117","Hospital Inpatient (Including Medicare Part A) replacement of prior claim"
"118","Hospital Inpatient (Including Medicare Part A) void/cancel of a prior claim"
"119","Hospital Inpatient (Including Medicare Part A) final claim for a home"
"121","Hospital Inpatient (Medicare Part B Only) admit through discharge"
"122","Hospital Inpatient (Medicare Part B Only) interim - first claim"
"123","Hospital Inpatient (Medicare Part B Only) interim - continuing claims"
"124","Hospital Inpatient (Medicare Part B Only) interim - last claim"
"125","Hospital Inpatient (Medicare Part B Only) late charge only"
"127","Hospital Inpatient (Medicare Part B Only) replacement of prior claim"
"128","Hospital Inpatient (Medicare Part B Only) void/cancel of a prior claim"
"129","Hospital Inpatient (Medicare Part B Only) final claim for a home"
"131","Hospital Outpatient admit through discharge"
"132","Hospital Outpatient interim - first claim"
"133","Hospital Outpatient interim - continuing claims"
"134","Hospital Outpatient interim - last claim"
"135","Hospital Outpatient late charge only"
"137","Hospital Outpatient replacement of prior claim"
"138","Hospital Outpatient void/cancel of a prior claim"
"139","Hospital Outpatient final claim for a home"
"141","Hospital Other (for hospital referenced diagnostic services or home health not under a plan of treatment) admit through discharge"
"142","Hospital Other (for hospital referenced diagnostic services or home health not under a plan of treatment) interim - first claim"
"143","Hospital Other (for hospital referenced diagnostic services or home health not under a plan of treatment) interim - continuing claims"
"144","Hospital Other (for hospital referenced diagnostic services or home health not under a plan of treatment) interim - last claim"
"145","Hospital Other (for hospital referenced diagnostic services or home health not under a plan of treatment) late charge only"
"147","Hospital Other (for hospital referenced diagnostic services or home health not under a plan of treatment) replacement of prior claim"
"148","Hospital Other (for hospital referenced diagnostic services or home health not under a plan of treatment) void/cancel of a prior claim"
"149","Hospital Other (for hospital referenced diagnostic services or home health not under a plan of treatment) final claim for a home"
"151","Hospital Nursing Facility Level I admit through discharge"
"152","Hospital Nursing Facility Level I interim - first claim"
"153","Hospital Nursing Facility Level I interim - continuing claims"
"154","Hospital Nursing Facility Level I interim - last claim"
"155","Hospital Nursing Facility Level I late charge only"
"157","Hospital Nursing Facility Level I replacement of prior claim"
"158","Hospital Nursing Facility Level I void/cancel of a prior claim"
"159","Hospital Nursing Facility Level I final claim for a home"
"161","Hospital Nursing Facility Level II admit through discharge"
"162","Hospital Nursing Facility Level II interim - first claim"
"163","Hospital Nursing Facility Level II interim - continuing claims"
"164","Hospital Nursing Facility Level II interim - last claim"
"165","Hospital Nursing Facility Level II late charge only"
"167","Hospital Nursing Facility Level II replacement of prior claim"
"168","Hospital Nursing Facility Level II void/cancel of a prior claim"
"169","Hospital Nursing Facility Level II final claim for a home"
"171","Hospital Intermediate Care - Level III Nursing Facility admit through discharge"
"172","Hospital Intermediate Care - Level III Nursing Facility interim - first claim"
"173","Hospital Intermediate Care - Level III Nursing Facility interim - continuing claims"
"174","Hospital Intermediate Care - Level III Nursing Facility interim - last claim"
"175","Hospital Intermediate Care - Level III Nursing Facility late charge only"
"177","Hospital Intermediate Care - Level III Nursing Facility replacement of prior claim"
"178","Hospital Intermediate Care - Level III Nursing Facility void/cancel of a prior claim"
"179","Hospital Intermediate Care - Level III Nursing Facility final claim for a home"
"181","Hospital Swing Beds admit through discharge"
"182","Hospital Swing Beds interim - first claim"
"183","Hospital Swing Beds interim - continuing claims"
"184","Hospital Swing Beds interim - last claim"
"185","Hospital Swing Beds late charge only"
"187","Hospital Swing Beds replacement of prior claim"
"188","Hospital Swing Beds void/cancel of a prior claim"
"189","Hospital Swing Beds final claim for a home"
"211","Skilled Nursing Inpatient (Including Medicare Part A) admit through discharge"
"212","Skilled Nursing Inpatient (Including Medicare Part A) interim - first claim"
"213","Skilled Nursing Inpatient (Including Medicare Part A) interim - continuing claims"
"214","Skilled Nursing Inpatient (Including Medicare Part A) interim - last claim"
"215","Skilled Nursing Inpatient (Including Medicare Part A) late charge only"
"217","Skilled Nursing Inpatient (Including Medicare Part A) replacement of prior claim"
"218","Skilled Nursing Inpatient (Including Medicare Part A) void/cancel of a prior claim"
"219","Skilled Nursing Inpatient (Including Medicare Part A) final claim for a home"
"221","Skilled Nursing Inpatient (Medicare Part B Only) admit through discharge"
"222","Skilled Nursing Inpatient (Medicare Part B Only) interim - first claim"
"223","Skilled Nursing Inpatient (Medicare Part B Only) interim - continuing claims"
"224","Skilled Nursing Inpatient (Medicare Part B Only) interim - last claim"
"225","Skilled Nursing Inpatient (Medicare Part B Only) late charge only"
"227","Skilled Nursing Inpatient (Medicare Part B Only) replacement of prior claim"
"228","Skilled Nursing Inpatient (Medicare Part B Only) void/cancel of a prior claim"
"229","Skilled Nursing Inpatient (Medicare Part B Only) final claim for a home"
"231","Skilled Nursing Outpatient admit through discharge"
"232","Skilled Nursing Outpatient interim - first claim"
"233","Skilled Nursing Outpatient interim - continuing claims"
"234","Skilled Nursing Outpatient interim - last claim"
"235","Skilled Nursing Outpatient late charge only"
"237","Skilled Nursing Outpatient replacement of prior claim"
"238","Skilled Nursing Outpatient void/cancel of a prior claim"
"239","Skilled Nursing Outpatient final claim for a home"
"241","Skilled Nursing Other (for hospital referenced diagnostic services or home health not under a plan of treatment) admit through discharge"
"242","Skilled Nursing Other (for hospital referenced diagnostic services or home health not under a plan of treatment) interim - first claim"
"243","Skilled Nursing Other (for hospital referenced diagnostic services or home health not under a plan of treatment) interim - continuing claims"
"244","Skilled Nursing Other (for hospital referenced diagnostic services or home health not under a plan of treatment) interim - last claim"
"245","Skilled Nursing Other (for hospital referenced diagnostic services or home health not under a plan of treatment) late charge only"
"247","Skilled Nursing Other (for hospital referenced diagnostic services or home health not under a plan of treatment) replacement of prior claim"
"248","Skilled Nursing Other (for hospital referenced diagnostic services or home health not under a plan of treatment) void/cancel of a prior claim"
"249","Skilled Nursing Other (for hospital referenced diagnostic services or home health not under a plan of treatment) final claim for a home"
"251","Skilled Nursing Nursing Facility Level I admit through discharge"
"252","Skilled Nursing Nursing Facility Level I interim - first claim"
"253","Skilled Nursing Nursing Facility Level I interim - continuing claims"
"254","Skilled Nursing Nursing Facility Level I interim - last claim"
"255","Skilled Nursing Nursing Facility Level I late charge only"
"257","Skilled Nursing Nursing Facility Level I replacement of prior claim"
"258","Skilled Nursing Nursing Facility Level I void/cancel of a prior claim"
"259","Skilled Nursing Nursing Facility Level I final claim for a home"
"261","Skilled Nursing Nursing Facility Level II admit through discharge"
"262","Skilled Nursing Nursing Facility Level II interim - first claim"
"263","Skilled Nursing Nursing Facility Level II interim - continuing claims"
"264","Skilled Nursing Nursing Facility Level II interim - last claim"
"265","Skilled Nursing Nursing Facility Level II late charge only"
"267","Skilled Nursing Nursing Facility Level II replacement of prior claim"
"268","Skilled Nursing Nursing Facility Level II void/cancel of a prior claim"
"269","Skilled Nursing Nursing Facility Level II final claim for a home"
"271","Skilled Nursing Intermediate Care - Level III Nursing Facility admit through discharge"
"272","Skilled Nursing Intermediate Care - Level III Nursing Facility interim - first claim"
"273","Skilled Nursing Intermediate Care - Level III Nursing Facility interim - continuing claims"
"274","Skilled Nursing Intermediate Care - Level III Nursing Facility interim - last claim"
"275","Skilled Nursing Intermediate Care - Level III Nursing Facility late charge only"
"277","Skilled Nursing Intermediate Care - Level III Nursing Facility replacement of prior claim"
"278","Skilled Nursing Intermediate Care - Level III Nursing Facility void/cancel of a prior claim"
"279","Skilled Nursing Intermediate Care - Level III Nursing Facility final claim for a home"
